"Decade","Decadewise Rank","Male Name","No. of babies(M)","Female Name","No. of babies(F)"
2000,"10","William","194368","Ashley","133036"
2000,"11","Anthony","191898","Alexis","130820"
2000,"12","David","180004","Sarah","124474"
2000,"13","Alexander","178817","Sophia","119236"
2000,"14","Nicholas","177598","Alyssa","114492"
2000,"15","Ryan","173224","Grace","110708"
2000,"16","Tyler","165570","Ava","104534"
2000,"17","James","163155","Taylor","100988"
2000,"18","John","161023","Brianna","99781"
2000,"19","Jonathan","144816","Lauren","97154"
2000,"20","Noah","143489","Chloe","96483"
2000,"21","Brandon","142981","Natalie","95086"
2000,"22","Christian","142401","Kayla","94345"
2000,"23","Dylan","140110","Jessica","90658"
2000,"24","Samuel","138558","Anna","90256"
2000,"25","Benjamin","137276","Victoria","84951"
2000,"26","Nathan","134831","Mia","83502"
2000,"27","Zachary","134748","Hailey","81976"
2000,"28","Logan","134020","Sydney","76438"
2000,"29","Justin","122975","Jasmine","76057"
2000,"30","Gabriel","119814","Julia","70867"
2000,"31","Jose","115725","Morgan","70745"
2000,"32","Austin","112758","Destiny","69800"
2000,"33","Kevin","111066","Rachel","68350"
2000,"34","Elijah","110385","Ella","67514"
2000,"35","Caleb","110068","Kaitlyn","66906"
2000,"36","Robert","106643","Megan","66830"
2000,"37","Thomas","102084","Katherine","65346"
2000,"38","Jordan","101168","Savannah","64747"
2000,"39","Cameron","95883","Jennifer","63497"
2000,"40","Jack","95503","Alexandra","61246"
2000,"41","Hunter","94843","Allison","59963"
2000,"42","Jackson","94482","Haley","57051"
2000,"43","Angel","94320","Maria","56981"
2000,"44","Isaiah","92763","Kaylee","56420"
2000,"45","Evan","92138","Lily","56179"
2000,"46","Isaac","90726","Makayla","54978"
2000,"47","Luke","90490","Brooke","54683"
2000,"48","Mason","90486","Nicole","54575"
2000,"49","Jayden","88580","Mackenzie","54547"
2000,"50","Jason","88547","Addison","51380"
2000,"51","Gavin","88436","Stephanie","49951"
2000,"52","Aaron","86965","Lillian","49383"
2000,"53","Connor","85978","Andrea","49179"
2000,"54","Aiden","83533","Faith","48773"
2000,"55","Aidan","76502","Zoe","48749"
2000,"56","Kyle","76149","Kimberly","48482"
2000,"57","Juan","75839","Madeline","48277"
2000,"58","Charles","75325","Alexa","48110"
2000,"59","Luis","74319","Katelyn","47835"
2000,"60","Adam","71010","Gabriella","47390"
2000,"61","Lucas","70983","Gabrielle","47016"
2000,"62","Brian","69761","Trinity","46883"
2000,"63","Eric","69475","Amanda","46613"
2000,"64","Adrian","66112","Kylie","46437"
2000,"65","Nathaniel","64257","Mary","46240"
2000,"66","Sean","64124","Paige","45574"
2000,"67","Alex","63771","Riley","45524"
2000,"68","Carlos","63180","Leah","45418"
2000,"69","Bryan","61926","Jenna","45293"
2000,"70","Ian","61922","Sara","44040"
2000,"71","Owen","61869","Rebecca","43705"
2000,"72","Jesus","61310","Michelle","43529"
2000,"73","Landon","61120","Sofia","43372"
2000,"74","Julian","60378","Vanessa","43225"
2000,"75","Chase","57161","Jordan","43178"
2000,"76","Cole","56840","Angelina","42807"
2000,"77","Diego","56034","Caroline","41843"
2000,"78","Jeremiah","55660","Avery","41698"
2000,"79","Steven","53896","Audrey","41512"
2000,"80","Sebastian","53856","Evelyn","40726"
2000,"81","Xavier","52467","Maya","40025"
2000,"82","Timothy","52454","Claire","39005"
2000,"83","Carter","52316","Autumn","38529"
2000,"84","Wyatt","51341","Jocelyn","38383"
2000,"85","Brayden","50373","Ariana","38003"
2000,"86","Blake","50104","Nevaeh","37937"
2000,"87","Hayden","50042","Arianna","37828"
2000,"88","Devin","49423","Jada","37075"
2000,"89","Cody","48875","Bailey","36874"
2000,"90","Richard","48575","Brooklyn","36858"
2000,"91","Seth","48155","Aaliyah","36376"
2000,"92","Dominic","48107","Amber","36214"
2000,"93","Jaden","46268","Isabel","36034"
2000,"94","Antonio","46239","Mariah","35679"
2000,"95","Miguel","46090","Danielle","35615"
2000,"96","Liam","44935","Melanie","35222"
2000,"97","Patrick","44777","Sierra","34527"
2000,"98","Carson","44630","Erin","33362"
2000,"99","Jesse","43383","Amelia","33279"
2000,"100","Tristan","43294","Molly","33265"
2010,"1","Noah","183172","Emma","194917"
2010,"2","Liam","173888","Olivia","184432"
2010,"3","Jacob","163114","Sophia","181032"
2010,"4","William","159833","Isabella","170417"
2010,"5","Mason","157787","Ava","155761"
2010,"6","Ethan","149000","Mia","128986"
2010,"7","Michael","145020","Abigail","118634"
2010,"8","Alexander","142043","Emily","117556"
2010,"9","James","139564","Charlotte","102409"
2010,"10","Elijah","136937","Madison","98351"
2010,"11","Benjamin","134405","Elizabeth","93981"
2010,"12","Daniel","133807","Amelia","93773"
2010,"13","Aiden","129546","Evelyn","86929"
2010,"14","Logan","126751","Ella","85864"
2010,"15","Jayden","125963","Chloe","85235"
2010,"16","Matthew","124993","Harper","85137"
2010,"17","Lucas","118591","Avery","82881"
2010,"18","David","116585","Sofia","82357"
2010,"19","Jackson","116163","Grace","72980"
2010,"20","Joseph","115573","Addison","70966"
2010,"21","Anthony","112025","Victoria","70965"
2010,"22","Samuel","108026","Lily","68252"
2010,"23","Joshua","106144","Natalie","68090"
2010,"24","Gabriel","105493","Aubrey","65878"
2010,"25","Andrew","104972","Lillian","64910"
2010,"26","John","102677","Zoey","64893"
2010,"27","Christopher","102040","Hannah","64450"
2010,"28","Oliver","98098","Layla","63165"
2010,"29","Dylan","96306","Brooklyn","60270"
2010,"30","Carter","95188","Scarlett","58240"
2010,"31","Isaac","94466","Zoe","58064"
2010,"32","Luke","93220","Camila","57875"
2010,"33","Henry","92537","Samantha","56900"
2010,"34","Owen","91066","Riley","56105"
2010,"35","Ryan","90941","Leah","55992"
2010,"36","Nathan","87979","Aria","52207"
2010,"37","Wyatt","87683","Savannah","51809"
2010,"38","Caleb","86661","Audrey","51585"
2010,"39","Sebastian","86628","Anna","51241"
2010,"40","Jack","85656","Allison","48975"
2010,"41","Christian","84097","Gabriella","48086"
2010,"42","Jonathan","79797","Hailey","47717"
2010,"43","Julian","79475","Claire","47716"
2010,"44","Landon","79273","Penelope","47587"
2010,"45","Levi","77890","Aaliyah","46661"
2010,"46","Isaiah","76186","Sarah","46599"
2010,"47","Hunter","74811","Nevaeh","44919"
2010,"48","Aaron","70421","Kaylee","44577"
2010,"49","Thomas","69960","Stella","44192"
2010,"50","Charles","69958","Mila","44091"
2010,"51","Eli","69811","Nora","44066"
2010,"52","Jaxon","69103","Ellie","43207"
2010,"53","Connor","68243","Bella","43131"
2010,"54","Nicholas","66748","Lucy","42000"
2010,"55","Jeremiah","66684","Alexa","41985"
2010,"56","Grayson","66356","Arianna","41769"
2010,"57","Cameron","66156","Violet","41541"
2010,"58","Brayden","65957","Ariana","41310"
2010,"59","Adrian","65936","Genesis","40494"
2010,"60","Evan","64728","Alexis","40365"
2010,"61","Jordan","64425","Eleanor","40108"
2010,"62","Josiah","63023","Maya","39743"
2010,"63","Angel","62906","Caroline","39616"
2010,"64","Robert","62594","Peyton","39592"
2010,"65","Gavin","62305","Skylar","39381"
2010,"66","Tyler","59307","Madelyn","39181"
2010,"67","Austin","59074","Serenity","38824"
2010,"68","Colton","58416","Kennedy","38573"
2010,"69","Jose","55154","Taylor","38191"
2010,"70","Dominic","55131","Alyssa","37904"
2010,"71","Brandon","54084","Autumn","37646"
2010,"72","Ian","52444","Paisley","37538"
2010,"73","Lincoln","51982","Ashley","37213"
2010,"74","Hudson","51443","Brianna","36887"
2010,"75","Kevin","51286","Sadie","36548"
2010,"76","Zachary","51110","Naomi","36151"
2010,"77","Adam","50646","Kylie","36091"
2010,"78","Mateo","50575","Julia","35884"
2010,"79","Jason","50550","Sophie","35653"
2010,"80","Chase","50293","Mackenzie","35259"
2010,"81","Nolan","50024","Eva","35185"
2010,"82","Ayden","49593","Gianna","34642"
2010,"83","Cooper","49252","Luna","34149"
2010,"84","Parker","49211","Katherine","34127"
2010,"85","Xavier","48656","Hazel","33889"
2010,"86","Asher","48484","Khloe","33794"
2010,"87","Carson","47992","Ruby","33436"
2010,"88","Jace","47432","Piper","33070"
2010,"89","Easton","46771","Melanie","33063"
2010,"90","Justin","45547","Lydia","32687"
2010,"91","Leo","44673","Aubree","32618"
2010,"92","Bentley","43877","Madeline","32357"
2010,"93","Jaxson","42341","Aurora","32111"
2010,"94","Nathaniel","41845","Faith","31926"
2010,"95","Blake","41693","Alexandra","30956"
2010,"96","Elias","40894","Alice","30612"
2010,"97","Theodore","40508","Kayla","30269"
2010,"98","Kayden","40296","Jasmine","29347"
2010,"99","Luis","39052","Maria","28948"
2010,"100","Tristan","38645","Annabelle","28921"
